city,neighborhood,street_address,state,price,school_rating,bedrooms,bathrooms,house_size,house_type,lot_size,has_garage,has_pool,has_garden,has_view,year_built,special_features,property_description,neighborhood_description
Portland,Greenhaven,24 Oak Tree Lane,Oregon,"$750,000",7.5,3,2.5,"2,200 sqft",single-family,0.25 acres,True,False,True,True,2010,"Solar panels, eco-friendly appliances, energy-efficient windows","Welcome to a sustainable eco-friendly oasis in the heart of Greenhaven neighborhood. This modern home boasts 3 bedrooms, 2.5 bathrooms, and a plethora of eco-conscious features. Enjoy stunning views and a serene garden retreat in this green oasis.","Greenhaven is a vibrant and environmentally conscious neighborhood in Portland. Residents enjoy close proximity to parks, farmers markets, and bike trails, making it the perfect place for nature lovers and sustainability enthusiasts."
Seattle,Downtown,23 Main Street,Washington,"$350,000",7.0,1,1.0,600 sqft,apartment,N/A,False,False,False,True,2015,"Floor-to-ceiling windows, modern design, city views","Welcome to this chic and modern studio apartment in the heart of Downtown Seattle. This stylish space boasts floor-to-ceiling windows offering stunning city views, a contemporary design, and a prime location for urban living.","Downtown Seattle is a vibrant neighborhood with a mix of cultural attractions, high-end shopping, and an eclectic dining scene. It's the perfect blend of city living with easy access to restaurants, entertainment, and transportation options."
Charleston,Historic District,29 Broad Street,South Carolina,"$895,000",7.0,4,3.5,"2,800 sqft",single-family,0.21 acres,True,False,True,False,1850,"Historic charm, large porch, updated kitchen","Welcome to this stunning colonial-style home in the heart of Charleston's Historic District. This beautifully preserved 19th-century property boasts 4 bedrooms, 3.5 bathrooms, and a spacious layout perfect for modern living. Enjoy the character of yesteryears with modern upgrades in this charming residence. The large porch is ideal for relaxing evenings and entertaining guests. The updated kitchen offers a blend of old-world charm and contemporary convenience.","Discover the allure of Historic District, known for its cobblestone streets, historic architecture, and vibrant culture. Stroll to local shops, galleries, and restaurants, or immerse yourself in the rich history of this iconic neighborhood."
"Washington, D.C.",Georgetown,24 Maple Street,D.C.,"$1,250,000",7.0,3,2.5,"2,000 sqft",townhouse,"1,500 sqft",True,False,True,False,1920,"Historic architecture, updated interior, hardwood floors","Step into this charming townhouse situated in the heart of historic Georgetown. Featuring beautifully preserved architecture coupled with modern interior updates, this three-bedroom, two-and-a-half-bathroom gem boasts elegance and convenience. Enjoy the warmth of hardwood floors, a cozy backyard garden, and a convenient garage.","Georgetown exudes charm with its cobblestone streets, historic architecture, upscale shops, and top-notch dining experiences. Residents enjoy the vibrant and bustling atmosphere that blends seamlessly with a touch of historic elegance."
Key West,Oceanfront Oasis,34 Palm Tree Blvd,Florida,"$950,000",7.0,3,2.5,"2,000 sqft",single-family,"10,000 sqft",True,True,True,True,1998,"Private beach access, stunning ocean views, outdoor entertainment area","Welcome to your private beachfront bungalow in the prestigious Oceanfront Oasis neighborhood of Key West, Florida. This charming 3-bedroom, 2.5-bathroom single-family home boasts breathtaking ocean views, direct access to the white sandy beach, and a luxurious outdoor pool and entertainment area. The property offers a coastal living experience like no other, with ample natural light, tropical landscaping, and a serene atmosphere perfect for relaxation and entertainment. With a garage for your vehicles and a garden for green thumbs, this home is a seaside paradise waiting to be yours.","Oceanfront Oasis neighborhood is renowned for its exclusive beachfront properties, upscale lifestyle, and proximity to Key West's vibrant attractions. Residents enjoy stunning sunsets, water activities, and a close-knit community perfect for those seeking luxury coastal living."
Chicago,Magnificent Mile,56 E Grand Avenue,Illinois,"$1,200,000",7.0,2,2.5,"1,500 sqft",condo,N/A,True,False,False,True,2010,"Floor-to-ceiling windows, walk-in closets, modern kitchen appliances","Welcome to luxury living in this high-rise condo in the heart of Chicago's prestigious Magnificent Mile. Enjoy breathtaking city views from every room, top-of-the-line finishes, and impeccable design. This sophisticated 2-bedroom, 2.5-bathroom condo offers a seamless blend of elegance and comfort.","Magnificent Mile is known for its upscale shopping, fine dining, and iconic architecture. Residents enjoy easy access to Lake Michigan, downtown attractions, and cultural landmarks."
Santa Fe,Adobe Haven,25 Adobe Way,New Mexico,"$550,000",7.0,3,2.5,"2,000 sqft",single-family,0.5 acres,True,False,True,True,1998,"Kiva fireplace, adobe architecture, mountain views","Welcome to this charming adobe home nestled in the historic Adobe Haven neighborhood of Santa Fe. This traditional Southwestern-style residence boasts unique features and stunning mountain views. The cozy interior showcases a beautiful Kiva fireplace, wooden vigas, and Saltillo tile floors. Enjoy the serene outdoors with a lovely garden and relaxing patio perfect for entertaining. Don't miss this rare opportunity to own a piece of Santa Fe's rich heritage!","Adobe Haven is a picturesque neighborhood known for its adobe-style architecture and quaint streets lined with colorful blooming flowers. Residents enjoy a sense of tranquility and community spirit, making it an ideal place to call home in Santa Fe."
San Francisco,Victorian Village,22 Cherry Blossom Lane,California,"$2,500,000",7.0,4,2.5,"2,800 sqft",single-family,"5,000 sqft",True,False,True,True,1905,"Original Victorian details, panoramic city views, clawfoot tub","Step into a piece of San Francisco history with this charming Victorian home located in the heart of Victorian Village. This meticulously preserved gem offers 4 bedrooms, 2.5 bathrooms, a spacious lot with a garden area, and stunning city views from your own backyard. Embrace the elegance of the past with modern amenities seamlessly integrated.","Victorian Village is a quaint, historic neighborhood known for its beautifully preserved Victorian homes, tree-lined streets, and easy access to trendy cafes and boutiques. Enjoy the vibrant community while relishing in the architectural splendor of the Victorian era."
Beverly Hills,Golden Triangle,22 Lavish Lane,California,"$2,500,000",9.0,3,3.5,"2,500 sqft",single-family,"10,000 sqft",True,True,True,True,2005,Detached guest house with movie star amenities,"Welcome to luxury living in the prestigious Golden Triangle of Beverly Hills! This stunning detached guest house on Lavish Lane offers the epitome of privacy and style. Perfectly designed for entertaining, the property features top-of-the-line finishes, a gorgeous pool, lush gardens, and breathtaking city views. The separate guest house provides an exclusive retreat with movie star amenities, making it an entertainer's dream. Don't miss the opportunity to own this exceptional property in the heart of Beverly Hills!","Golden Triangle in Beverly Hills is synonymous with elegance and sophistication. Enjoy close proximity to world-class shopping on Rodeo Drive, gourmet dining experiences, and a vibrant nightlife scene. With top-notch schools and manicured streets lined with palm trees, this neighborhood exudes exclusivity and luxury."
Williamsburg,Historic Reserve,24 Colonial Way,Virginia,"$950,000",7.5,4,3.5,"3,500 sqft",single-family,1 acre,True,True,True,True,1995,"Custom-built colonial architecture, hardwood floors, gourmet kitchen, panoramic views","Welcome to a luxurious abode nestled near the historical sites of Williamsburg, Virginia. This custom-built colonial home boasts elegance and charm. Enjoy expansive living spaces, a gourmet kitchen, hardwood floors, a landscaped garden, a sparkling pool, and panoramic views. Perfect for entertaining and savoring quiet moments.","The Historic Reserve neighborhood surrounds you with the echoes of the past, offering a convenient location near the breathtaking historical sites of colonial Williamsburg. Enjoy upscale shopping, fine dining, and cultural events in the rich tapestry of this historic area."
